type	probe	avg.p	avg.fc	genes	direction	Name	INTACT
CLL	229487_at	3.55176516862158e-36	-30.6322027776421	EBF1	negative	early B-cell factor 1(EBF1)	11281:POU class 6 homeobox 2(POU6F2), 30001:endoplasmic reticulum oxidoreductase 1 alpha(ERO1A), 4544:melatonin receptor 1B(MTNR1B), 604:B-cell CLL/lymphoma 6(BCL6), 91647:ATP synthase mitochondrial F1 complex assembly factor 2(ATPAF2)
CLL	219049_at	3.52384102942634e-20	-31.3897066561732	CSGALNACT1	negative	chondroitin sulfate N-acetylgalactosaminyltransferase 1(CSGALNACT1)	
CLL	203906_at	9.50017949672179e-20	-4.56048445404425	IQSEC1	negative	IQ motif and Sec7 domain 1(IQSEC1)	54101:receptor interacting serine/threonine kinase 4(RIPK4), 202500:t-complex-associated-testis-expressed 1(TCTE1), 2776:G protein subunit alpha q(GNAQ), 3656:interleukin 1 receptor associated kinase 2(IRAK2), 3665:interferon regulatory factor 7(IRF7), 382:ADP ribosylation factor 6(ARF6), 4102:MAGE family member A3(MAGEA3), 4176:minichromosome maintenance complex component 7(MCM7), 6734:SRP receptor alpha subunit(SRPRA), 81631:microtubule associated protein 1 light chain 3 beta(MAP1LC3B), 84557:microtubule associated protein 1 light chain 3 alpha(MAP1LC3A)
CLL	221004_s_at	2.2705026648892e-19	-4.94735801554348	ITM2C	negative	integral membrane protein 2C(ITM2C)	4544:melatonin receptor 1B(MTNR1B), 200728:transmembrane protein 17(TMEM17), 3703:STT3A, catalytic subunit of the oligosaccharyltransferase complex(STT3A), 51259:transmembrane protein 216(TMEM216), 9616:ring finger protein 7(RNF7)
CLL	210448_s_at	6.68406998291295e-19	-4.74885959680065	P2RX5	negative	purinergic receptor P2X 5(P2RX5)	729991:BLOC-1 related complex subunit 8(BORCS8)
CLL	202709_at	2.09755624889096e-37	18.3145325028808	FMOD	positive	fibromodulin(FMOD)	10910:SGT1 homolog, MIS12 kinetochore complex assembly cochaperone(SUGT1)
CLL	215285_s_at	3.0678216724125e-35	4.21080047415039	PHTF1	positive	putative homeodomain transcription factor 1(PHTF1)	
CLL	1562587_at	2.15220325184082e-32	18.2985568149348	CLNK	positive	cytokine dependent hematopoietic cell linker(CLNK)	11068:cytochrome b561 family member D2(CYB561D2), 1398:CRK proto-oncogene, adaptor protein(CRK), 169792:GLIS family zinc finger 3(GLIS3), 1956:epidermal growth factor receptor(EGFR), 2064:erb-b2 receptor tyrosine kinase 2(ERBB2), 222826:family with sequence similarity 217 member A(FAM217A), 27148:serine/threonine kinase 36(STK36), 2885:growth factor receptor bound protein 2(GRB2), 29763:protein kinase C and casein kinase substrate in neurons 3(PACSIN3), 4833:NME/NM23 nucleoside diphosphate kinase 4(NME4), 51460:Scm-like with four mbt domains 1(SFMBT1), 51741:WW domain containing oxidoreductase(WWOX), 57017:coenzyme Q9(COQ9), 57182:ankyrin repeat domain 50(ANKRD50), 5754:protein tyrosine kinase 7 (inactive)(PTK7), 5925:RB transcriptional corepressor 1(RB1), 6602:SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1(SMARCD1), 660:BMX non-receptor tyrosine kinase(BMX), 7294:TXK tyrosine kinase(TXK), 79807:glutathione S-transferase C-terminal domain containing(GSTCD), 8503:phosphoinositide-3-kinase regulatory subunit 3(PIK3R3), 9306:suppressor of cytokine signaling 6(SOCS6)
CLL	202922_at	2.22064267602437e-32	3.67373281486466	GCLC	positive	glutamate-cysteine ligase catalytic subunit(GCLC)	6367:C-C motif chemokine ligand 22(CCL22)
CLL	230551_at	3.84657071483081e-32	10.1372831352111	KSR2	positive	kinase suppressor of ras 2(KSR2)	10910:SGT1 homolog, MIS12 kinetochore complex assembly cochaperone(SUGT1), 11140:cell division cycle 37(CDC37), 2289:FK506 binding protein 5(FKBP5), 3320:heat shock protein 90 alpha family class A member 1(HSP90AA1), 3326:heat shock protein 90 alpha family class B member 1(HSP90AB1), 375791:cysteine rich tail 1(CYSRT1), 5536:protein phosphatase 5 catalytic subunit(PPP5C), 673:B-Raf proto-oncogene, serine/threonine kinase(BRAF), 8468:FK506 binding protein 6(FKBP6)
