type	probe	avg.p	avg.fc	genes	direction	Name	UCSC_TFBS
CLL	229487_at	3.55176516862158e-36	-30.6322027776421	EBF1	negative	early B-cell factor 1(EBF1)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, NKX25, NRF2, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, TGIF, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, CREB, CREBP1CJUN, E47, ELK1, GR, HTF, LMO2COM, MIF1, NFE2, NFKAPPAB50, NKX3A, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, XBP1, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, CEBPA, CHX10, COMP1, E2F, EGR3, ER, FAC1, FOXO3, FREAC2, GATA, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, HSF1, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, NKX61, NRSF, OCT, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SEF1, SRF, STAT5B, TAL1BETAE47, TAXCREB, TBP, USF, ZIC3, ZID, ATF, BACH2, BRN2, CDPCR1, CEBPB, CETS1P54, CMYB, COUP, CREBP1, EGR2, FOXD3, FOXJ2, FREAC3, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF1, IRF7, LYF1, MAX, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NFKAPPAB, NFKB, NGFIC, NMYC, P300, PPARA, SP1, SREBP1, STAT1, STAT5A, AP2, CART1, CDC5, CHOP, CP2, CREL, EN1, GATA3, GATA6, LHX3, MAZR, NCX, PAX3, RREB1, S8, SPZ1, TAL1ALPHAE47, ZIC2, EGR1
CLL	219049_at	3.52384102942634e-20	-31.3897066561732	CSGALNACT1	negative	chondroitin sulfate N-acetylgalactosaminyltransferase 1(CSGALNACT1)	AML1, AREB6, ARP1, CDP, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NKX25, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, TATA, TCF11MAFG, TGIF, AP1, AP1FJ, AP4, ARNT, ATF6, BRACH, CEBP, E47, GR, HTF, NFE2, NKX3A, TAL1BETAITF2, TCF11, TST1, XBP1, YY1, AHR, AP2REP, BACH1, CDPCR3, CHX10, COMP1, E2F, ER, FAC1, FOXO3, FREAC2, GATA, HNF1, HOXA3, LUN1, MRF2, MYB, MYCMAX, NF1, NFY, NKX22, OCT, OLF1, PAX2, RFX1, RORA1, RP58, SEF1, SRF, TAL1BETAE47, USF, ZIC3, ZID, BACH2, BRN2, CDPCR1, CEBPB, CMYB, CREBP1, FOXD3, FOXJ2, FREAC4, GFI1, HAND1E47, IK2, IRF1, IRF7, MEIS1AHOXA9, MYOD, NFAT, NGFIC, P300, PPARA, SREBP1, STAT5A, CART1, CDC5, CHOP, EN1, LHX3, PAX3, S8, TAL1ALPHAE47
CLL	203906_at	9.50017949672179e-20	-4.56048445404425	IQSEC1	negative	IQ motif and Sec7 domain 1(IQSEC1)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH3, HLF, HNF4, IK3, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, OCT1, P53, PAX4, POU3F2, POU6F1, PPARG, RSRFC4, STAT, TATA, TGIF, AP1, AP1FJ, AP4, ARNT, BRACH, CEBP, CREBP1CJUN, E47, ELK1, GR, HTF, LMO2COM, NFKAPPAB50, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, XBP1, YY1, AHR, AHRARNT, AP2REP, BACH1, CDPCR3, ER, FAC1, GATA, HEN1, HMX1, MRF2, MYB, MYCMAX, NF1, NFY, NKX61, NRSF, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SEF1, SRF, TAXCREB, USF, ZIC3, ZID, ATF, BACH2, BRN2, CDPCR1, CEBPB, CETS1P54, CMYB, COUP, CREBP1, EGR2, FOXD3, FOXJ2, FREAC3, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF1, IRF7, LYF1, MAX, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NFKAPPAB, NFKB, NGFIC, NMYC, P300, PPARA, SP1, SREBP1, STAT1, STAT5A
CLL	221004_s_at	2.2705026648892e-19	-4.94735801554348	ITM2C	negative	integral membrane protein 2C(ITM2C)	AREB6, EVI1, GCNF, HLF, NRF2, OCT1, P53, PAX4, PBX1, PPARG, SOX5, ARNT, BRACH, CEBP, CREB, ELK1, HTF, LMO2COM, ROAZ, TAL1BETAITF2, TST1, XBP1, AHR, AP2REP, HMX1, HSF1, MRF2, NFY, NKX61, OLF1, PAX2, PAX5, RFX1, RORA1, RP58, SEF1, TAL1BETAE47, TAXCREB, USF, ZIC1, ZIC3, ATF, CREBP1, GATA2, GFI1, HAND1E47, LYF1, MYOD, NFKAPPAB, NFKB, PPARA, SP1, SREBP1, STAT1, RREB1, SPZ1, TAL1ALPHAE47
CLL	210448_s_at	6.68406998291295e-19	-4.74885959680065	P2RX5	negative	purinergic receptor P2X 5(P2RX5)	AML1, AREB6, ARP1, CDPCR3HD, EVI1, FOXO4, GATA1, GCNF, IK3, IRF2, MEF2, NRF2, OCT1, PAX4, POU6F1, PPARG, TCF11MAFG, AP1FJ, AP4, BRACH, CREB, GR, HTF, MIF1, NFE2, ROAZ, TCF11, XBP1, YY1, AHR, AHRARNT, CDPCR3, E2F, FOXO3, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, LUN1, NF1, NFY, NKX22, NKX61, NRSF, PAX2, PAX5, RFX1, RORA1, SEF1, TBP, ZID, CMYB, COUP, CREBP1, FREAC3, GATA2, GFI1, IK1, IRF1, NFKAPPAB, NGFIC, PPARA, SP1, SREBP1, STAT1, STAT5A, CHOP, CP2, EN1, MAZR, RREB1
CLL	202709_at	2.09755624889096e-37	18.3145325028808	FMOD	positive	fibromodulin(FMOD)	AML1, CDPCR3HD, EVI1, FREAC7, HFH1, HFH3, HNF3B, IRF2, MEF2, OCT1, PAX4, PAX6, PBX1, POU3F2, PPARG, SOX5, SOX9, SRY, ATF6, CEBP, CREB, E47, ELK1, GR, HTF, LMO2COM, NFE2, STAT3, TAL1BETAITF2, TCF11, XBP1, AHRARNT, BACH1, CDPCR3, E2F, ER, FAC1, HNF1, HOXA3, LUN1, MYB, MYCMAX, NF1, NFY, NKX61, PAX2, PAX5, RFX1, SEF1, TAXCREB, ZID, CEBPB, CETS1P54, CMYB, FREAC4, GATA2, MYOD, MYOGNF1, NFAT, STAT1, STAT5A, CHOP, CREL, LHX3, RREB1
CLL	215285_s_at	3.0678216724125e-35	4.21080047415039	PHTF1	positive	putative homeodomain transcription factor 1(PHTF1)	AML1, AREB6, ARP1, CDP, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, IK3, IRF2, MEF2, MEIS1, MEIS1BHOXA9, NKX25, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, TATA, TCF11MAFG, TGIF, ARNT, CEBP, ELK1, HTF, LMO2COM, MIF1, NKX3A, TAL1BETAITF2, TCF11, YY1, AP2REP, CEBPA, CHX10, COMP1, E2F, FAC1, FREAC2, GATA, HMX1, HNF1, LUN1, MRF2, NFY, NKX22, NKX61, OCT, PAX2, PAX5, RORA1, RP58, SRF, TAXCREB, TBP, USF, BRN2, CEBPB, CETS1P54, CREBP1, FOXD3, FOXJ2, FREAC3, FREAC4, GATA2, GFI1, HAND1E47, IRF1, IRF7, LYF1, MEIS1AHOXA9, MSX1, MZF1, NFAT, NFKB, NGFIC, PPARA, SREBP1, STAT1, STAT5A, CART1, CDC5, CHOP, EN1, GATA3, LHX3, NCX, RREB1, S8
CLL	1562587_at	2.15220325184082e-32	18.2985568149348	CLNK	positive	cytokine dependent hematopoietic cell linker(CLNK)	AML1, AREB6, ARP1, CDP, CDPCR3HD, EVI1, FOXO4, FREAC7, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, IK3, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NFKAPPAB65, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, TGIF, AP1, AP4, BRACH, CEBP, CREB, E47, ELK1, GR, LMO2COM, NFE2, NKX3A, TAL1BETAITF2, TCF11, TST1, YY1, AP2REP, BACH1, CDPCR3, CEBPA, CHX10, E2F, FREAC2, GRE, HNF1, LUN1, MRF2, MYB, MYCMAX, NKX61, OCT, OLF1, PAX5, RORA1, RP58, SEF1, SRF, STAT5B, TBP, ATF, CDPCR1, CEBPB, COUP, FOXD3, FOXJ2, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF7, LYF1, MSX1, MYOD, MYOGNF1, PPARA, STAT5A, EN1, GATA3, LHX3, S8, TAL1ALPHAE47
CLL	202922_at	2.22064267602437e-32	3.67373281486466	GCLC	positive	glutamate-cysteine ligase catalytic subunit(GCLC)	AML1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FREAC7, GATA1, HLF, HNF3B, ISRE, MEF2, NKX25, OCT1, P53, PAX4, PBX1, POU3F2, POU6F1, RSRFC4, SOX9, TATA, TCF11MAFG, TGIF, AP1, ATF6, CEBP, E47, HTF, NFE2, TAL1BETAITF2, YY1, AHRARNT, BACH1, CHX10, FAC1, GATA, HOXA3, LUN1, MRF2, MYB, MYCMAX, NF1, NKX61, OCT, OLF1, PAX2, TAXCREB, TBP, USF, BACH2, CDPCR1, FOXJ2, GFI1, IK1, IRF1, IRF7, MEIS1AHOXA9, MSX1, MZF1, NMYC, SREBP1, STAT1, CART1, PAX3, S8
CLL	230551_at	3.84657071483081e-32	10.1372831352111	KSR2	positive	kinase suppressor of ras 2(KSR2)	AML1, AREB6, ARP1, CDP, CDPCR3HD, E4BP4, EVI1, FOXO1, FOXO4, FREAC7, GATA1, GCNF, HFH1, HFH3, HLF, HNF3B, HNF4, HSF2, IK3, IRF2, ISRE, MEF2, MEIS1, MEIS1BHOXA9, NKX25, OCT1, P53, PAX4, PAX6, PBX1, POU3F2, POU6F1, PPARG, RORA2, RSRFC4, SOX5, SOX9, SRY, STAT, TATA, TCF11MAFG, AP1, AP4, ARNT, ATF6, BRACH, CEBP, CREBP1CJUN, E47, ELK1, HTF, LMO2COM, MIF1, NFE2, NKX3A, ROAZ, STAT3, TAL1BETAITF2, TCF11, TST1, YY1, AHR, AHRARNT, BACH1, CDPCR3, CEBPA, CHX10, COMP1, EGR3, ER, FAC1, FREAC2, GATA, GRE, HEN1, HMX1, HNF1, HOX13, HOXA3, HSF1, LUN1, MRF2, MYB, MYCMAX, NF1, NKX22, NKX61, OCT, OLF1, PAX2, PAX5, RFX1, RP58, SEF1, SRF, STAT5B, TAXCREB, USF, ZIC3, ATF, BACH2, BRN2, CDPCR1, CEBPB, CETS1P54, CMYB, COUP, CREBP1, FOXD3, FOXJ2, FREAC4, GATA2, GFI1, HAND1E47, IK1, IK2, IRF1, IRF7, LYF1, MAX, MEIS1AHOXA9, MSX1, MYOD, MYOGNF1, MZF1, NFAT, NFKAPPAB, NFKB, NGFIC, NMYC, PPARA, SREBP1, STAT1, STAT5A, AP2GAMMA, CART1, CDC5, CHOP, CP2, EN1, GATA3, LHX3, MAZR, NCX, PAX3, S8, SPZ1, TAL1ALPHAE47, ZIC2
